,Ｎo．,番号,タイトル,相手先会社名,相手先所属,相手先担当者,送信元会社名,送信元担当者,送信元電話,送信元FAX,合計枚数,検討,電話待,FAX待,予備,予備メモ,メモ,年号,年,月,日,相手先ＦＡＸ番号,ＭＩＣ,役職,作業者名１,作業者名２,作業者名３,作業者名４,作業者名５,作業者名６,作業者名７,作業者名８,作業者名９,作業者名１０,作業者名１１,作業者名１２,作業者名１３,作業車１,作業車２,作業車３,住所１,住所２,郵便番号
0,2632,,ANAラウンジ,東和ライティング（株）,,伊藤,,茂木,,,2,,,,,,いつもお世話になっております。,平成,25,8,5,03-3422-3389,,課長,,,,,,,,,,,,,,,,,東京都世田谷区代田１－３０－１４,,155-0033
1,2633,,,ソウブ電商（株）,,三島,,木村,,,2,,,,,,毎度お世話になっております。,平成,25,8,6,0489-56-3803,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
2,2634,,安全書類,（株）関電工,,細野,,木村,,,1,,,,,,毎度お世話になっております。,平成,25,8,8,03-3201-2450,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
3,2635,,汐留ビルディングH25年度積算更新工事,（株）きんでん,,橋本,,木村,,,1,,,,,,毎度お世話になっております。,平成,25,8,27,03-6666-0529,,,,,,,,,,,,,,,,,,,埼玉県三郷市戸ケ崎２－７８４,,341-0044
4,2636,,ＵＳＳ東京フル２線制御システム落雷対策工事,パナソニック（株）ＥＳ社,千葉中央電材営業所,,,手塚,,,2,,,,,,表題の件の再御見積書を作成いたしましたので、送付させていただきます。,平成,25,9,17,043-297-6101,,川上,,,,,,,,,,,,,,,,,,,
5,2637,,上野トーセイビル,東光電気工事（株）,,野口,,花田,,,1,,,,,,明日、伺う作業員が手塚となります。,平成,25,8,29,,,,,,,,,,,,,,,,,,,,,,
6,2639,,8月末〆合計明細書,パナソニック㈱エコソリューションズ社,東部経理ｾﾝﾀｰ　電材ｸﾞﾙｰﾌﾟ,小川,,髙尾,,,3,,,,,,いつもお世話になります。,平成,25,8,30,03-6218-1141,,,,,,,,,,,,,,,,,,,東京都港区東新橋１丁目５番１号,,105-8301
7,2640,,8月末〆合計明細書,パナソニックエコソリューションズ電路㈱,事業管理部　経理課,小塚,,茂木,,,2,,,,,,いつもお世話になります。,平成,25,8,30,0561-54-1216,,,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田1123,,488-0012
8,2641,,汐留ビルの作業員名簿,パナソニックエコソリューションズ電路㈱,品質保証グループ　盤CSチーム,山内,,髙尾,,,2,,,,,,お世話になります。,平成,25,9,18,0561-54-3658,,職長,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田1123番地,,488-0012
9,2642,,【訂正】汐留ビルの作業員名簿,パナソニックエコソリューションズ電路㈱,品質保証グループ　盤CSチーム,山内,,髙尾,,,2,,,,,,お世話になります。,平成,25,9,19,0561-54-3658,,職長,,,,,,,,,,,,,,,,,愛知県尾張旭市三郷町角田1123番地,,488-0012
